rank,etf_code,etf_name,n_stocks,n_covered,coverage,rev_growth_2026,rev_growth_2027,rev_growth_2028,op_growth_2026,op_growth_2027,op_growth_2028,fwd_per,fwd_pbr,fwd_roe,composite_score
181,266420,KODEX 헬스케어,68,36,74.1,53.4,33.36,16.85,73.59,-22.29,170.07,91.59,12.02,8.39,35.73
182,367770,RISE 수소경제테마,37,22,98.2,10.15,10.66,9.89,51.12,31.71,21.17,74.53,1.47,8.13,35.71
183,143860,TIGER 헬스케어,68,36,74.2,53.11,33.05,16.71,73.23,-21.71,167.1,91.11,11.91,8.38,35.71
184,445150,KODEX 친환경조선해운액티브,25,23,98.6,16.87,13.75,9.79,64.32,27.75,15.8,74.65,2.26,20.6,35.66
185,490480,SOL K방산,10,10,100.0,23.23,12.05,8.34,58.7,30.77,17.01,90.91,2.12,17.48,35.12
186,0168K0,TIGER 기술이전바이오액티브,31,17,76.3,66.61,28.47,52.15,73.63,-345.97,1050.66,173.55,13.13,-8.57,34.47
187,139230,TIGER 200 중공업,18,16,98.7,15.12,13.26,11.73,47.09,31.29,22.74,113.68,2.15,18.64,34.25
188,465330,RISE 2차전지TOP10,11,9,88.4,20.09,35.61,24.1,146.07,98.41,61.12,239.98,6.0,-9.55,34.2
189,455860,SOL 2차전지소부장Fn,21,17,83.1,17.88,26.16,17.15,88.37,213.22,56.79,347.39,6.95,-5.78,33.78
190,441540,HANARO Fn조선해운,16,13,98.2,16.6,11.17,8.15,47.27,21.68,10.63,115.84,2.56,20.27,33.62
191,474590,WON 반도체밸류체인액티브,22,22,100.0,99.16,30.73,9.87,335.94,33.52,6.38,240.22,2.14,20.31,33.5
192,486240,DAISHIN343 AI반도체&인프라액티브,28,26,97.8,70.51,26.24,8.78,323.94,36.62,13.59,247.0,1.8,17.08,33.32
193,494670,TIGER 조선TOP10,11,9,99.3,19.27,11.53,8.57,61.19,24.65,16.7,175.1,1.79,20.06,31.87
194,0115D0,KODEX 조선TOP10,11,10,99.7,20.25,12.59,9.07,66.82,26.13,16.99,180.26,1.9,20.73,31.82
195,469170,ACE 포스코그룹포커스,11,8,83.3,5.01,36.37,23.72,83.45,132.59,59.37,333.12,4.88,3.51,31.22
196,466920,SOL 조선TOP3플러스,14,13,99.4,20.32,11.51,8.52,63.0,24.84,16.71,197.28,2.16,19.63,31.1
197,461950,KODEX 2차전지핵심소재10,10,7,85.5,14.2,28.37,18.73,78.31,171.21,56.12,377.43,8.37,-11.81,30.95
198,0151P0,RISE 코리아전략산업액티브,28,28,100.0,80.46,25.3,11.48,310.91,-7.09,105.21,367.36,2.65,19.59,28.58
199,462010,TIGER 2차전지소재Fn,20,15,82.0,14.76,30.6,19.91,69.94,187.0,58.29,477.07,9.0,-4.84,27.85
200,0005D0,SOL 전고체배터리&실리콘음극재,11,8,93.3,19.46,36.88,30.63,188.56,198.37,104.26,557.73,8.11,0.98,27.74
201,422420,RISE 2차전지액티브,18,16,91.7,26.31,34.46,25.14,153.2,104.96,70.05,457.94,6.63,-9.42,26.79
202,307520,TIGER 지주회사,31,22,87.1,9.35,6.44,7.21,100.49,20.5,14.7,464.96,0.58,4.84,21.73
