종목코드,종목명,매출액_2023,매출액_2024,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2023,영업이익_2024,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,매출액_성장률_2025,매출액_성장률_2026,매출액_성장률_2027,매출액_성장률_2028,매출액_최대성장률,영업이익_성장률_2025,영업이익_성장률_2026,영업이익_성장률_2027,영업이익_성장률_2028,영업이익_최대성장률,데이터_가용성,가용_연도수,PER,PBR,ROE,평균거래량_20d,OBV_trend,RSI,저항선,지지선,MA_align,MACD_signal,외인_5d,외인_20d,기관_5d,기관_20d,시장,현재가,시가총액,Recent_Volume,거래량배수,업종
1130,대한제분,14415.0,13747.0,13752.0,,,,549.0,723.0,623.0,,,,0.04,,,,0.04,-13.83,,,,-13.83,1년치 존재,1,2.66,0.21,-2.47,3577.0,up,64.6,161300.0,141400.0,,bull,,,,,KOSPI,156500,2645,0,,식품
136490,선진,19060.0,16814.0,18957.0,,,,975.0,1241.0,1792.0,,,,12.75,,,,12.75,44.4,,,,44.4,1년치 존재,1,11.31,0.4,23.5,86520.0,up,51.3,13600.0,9890.0,mixed,bull,,,,,KOSPI,10720,2549,56329,0.7,식품
390,SP삼화,6314.0,6283.0,6171.0,,,,258.0,190.0,95.0,,,,-1.78,,,,-1.78,-50.0,,,,-50.0,1년치 존재,1,11.18,0.51,2.3,1037588.0,up,50.4,12350.0,6760.0,up,bull,,,,,KOSPI,9450,2571,740491,0.7,건축자재
122900,아이마켓코리아,34256.0,33183.0,30544.0,,,,511.0,448.0,203.0,,,,-7.95,,,,-7.95,-54.69,,,,-54.69,1년치 존재,1,18.98,0.79,5.74,53212.0,up,53.8,8150.0,7270.0,mixed,bull,,,,,KOSPI,7600,2541,30720,0.6,상업서비스와공급품
4710,한솔테크닉스,13027.0,11995.0,12524.0,,,,489.0,334.0,204.0,,,,4.41,,,,4.41,-38.92,,,,-38.92,1년치 존재,1,5.38,0.66,-4.1,2096219.0,up,65.1,8690.0,4510.0,up,bull,,,,,KOSPI,8130,2585,912567,0.4,전자장비와기기
33920,무학,1466.0,1521.0,1438.0,,,,162.0,169.0,102.0,,,,-5.46,,,,-5.46,-39.64,,,,-39.64,1년치 존재,1,2.33,0.26,8.49,38891.0,down,48.7,10400.0,8340.0,mixed,bull,,,,,KOSPI,8900,2536,49794,1.3,음료
117580,대성에너지,9995.0,9951.0,10179.0,,,,204.0,205.0,303.0,,,,2.29,,,,2.29,47.8,,,,47.8,1년치 존재,1,14.95,0.69,7.3,534142.0,down,46.1,14390.0,7920.0,down,bull,,,,,KOSPI,9190,2527,520310,1.0,가스유틸리티
35150,백산,4177.0,4970.0,5049.0,5094.0,,,531.0,765.0,536.0,625.0,,,1.59,0.89,,,1.59,-29.93,16.6,,,16.6,2년치 존재,2,5.92,1.16,13.22,30701.0,down,40.5,14430.0,12400.0,down,bear,,,,,KOSPI,12400,2484,55305,1.8,"섬유,의류,신발,호화품"
4380,삼익THK,3156.0,3044.0,2222.0,,,,69.0,6.0,-355.0,,,,-27.0,,,,-27.0,-6016.67,,,,-6016.67,1년치 존재,1,301.86,1.11,-25.26,742297.0,up,48.6,12630.0,10550.0,,,,,,,KOSPI,11850,2453,151655,0.2,기계
5500,삼진제약,2921.0,3083.0,3091.0,,,,205.0,316.0,268.0,,,,0.26,,,,0.26,-15.19,,,,-15.19,1년치 존재,1,15.88,1.04,8.76,18980.0,up,51.3,19960.0,17240.0,mixed,bull,,,,,KOSPI,18710,2492,14385,0.8,제약
